id,MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,flud_0620_v1
399443,4,5,6,3,5,3,6,6,8,4,3,6,4,5,1,6,7,7,4,6,0.495,0.50505763
406928,2,3,4,10,4,4,5,4,5,5,4,4,6,2,3,5,5,8,5,3,0.45,0.46334195
894552,3,6,8,4,9,7,6,4,6,3,2,4,6,5,4,4,5,6,3,4,0.505,0.5154827
135571,8,4,7,7,5,4,4,7,5,5,1,7,2,5,3,3,6,3,8,2,0.48,0.489411
738010,5,6,3,10,5,3,4,4,6,2,6,3,6,3,9,10,4,5,4,4,0.51,0.5232229
64646,2,7,4,3,10,3,2,4,8,5,3,8,5,4,7,6,3,6,7,1,0.49,0.48701432
38462,4,7,3,6,6,5,3,5,6,8,5,6,4,7,7,7,6,8,4,5,0.595,0.58222336
357672,4,4,7,6,8,6,3,7,6,5,5,2,7,5,4,8,4,0,12,2,0.55,0.54175377
76779,7,6,3,3,4,6,10,7,4,8,4,4,6,9,5,6,3,6,3,2,0.53,0.5519004
844102,6,3,6,6,4,4,8,5,8,5,4,7,7,1,5,5,8,7,5,7,0.585,0.5761282
533944,2,4,4,6,7,6,3,4,5,1,8,5,8,4,7,3,6,4,4,3,0.45,0.47803935
472948,6,6,4,5,4,10,6,7,4,7,4,4,4,7,3,11,2,4,5,3,0.555,0.5381751
499067,5,4,0,5,3,5,6,5,5,5,6,3,3,3,8,2,6,3,6,8,0.45,0.46688983
692429,5,7,5,4,6,7,4,2,6,5,5,8,3,6,4,2,5,6,3,5,0.5,0.4996367
146801,6,5,4,3,2,4,4,2,2,4,4,2,2,3,3,6,7,4,5,5,0.365,0.3928334
616697,6,4,7,3,6,4,2,7,5,8,5,4,7,6,5,5,5,6,5,5,0.555,0.5418658
178148,5,2,5,4,6,4,4,5,6,6,5,3,8,8,5,5,4,7,5,7,0.55,0.5361855
669077,5,8,5,5,7,5,9,8,4,4,4,5,5,10,4,4,5,3,5,2,0.545,0.5458322
657934,3,7,8,5,2,8,3,4,1,2,5,7,6,5,4,4,7,2,4,4,0.425,0.46312082
248192,4,7,4,3,5,2,7,6,6,4,3,4,3,4,2,6,6,3,2,8,0.44,0.45294446
770836,5,5,11,6,5,5,7,3,1,4,7,5,5,6,5,1,3,8,6,8,0.555,0.5448668
834096,3,3,4,4,3,7,2,2,8,2,3,6,7,3,7,6,5,2,8,6,0.47,0.44210976
674852,3,3,6,2,6,3,8,5,6,4,7,4,3,4,2,2,8,1,3,5,0.42,0.4145695
935373,7,4,6,7,6,2,10,7,4,7,3,3,1,1,5,6,5,6,9,7,0.555,0.5477669
548271,7,5,6,4,10,6,2,6,4,4,6,5,6,3,5,7,6,5,4,5,0.555,0.5441475
378771,5,3,2,4,5,5,6,6,1,3,8,2,8,6,5,6,6,4,5,8,0.49,0.49214375
102536,8,4,3,7,7,4,9,6,5,5,3,6,5,6,10,4,7,5,2,5,0.575,0.57923955
120675,4,1,4,4,4,4,9,7,6,5,6,4,4,5,5,7,6,3,5,6,0.495,0.5186314
226523,4,5,9,3,6,5,2,9,4,2,4,6,3,7,7,4,3,6,5,3,0.475,0.507073
367427,6,5,7,3,4,7,10,3,5,4,3,1,5,7,2,5,5,3,3,8,0.48,0.481592
454037,6,2,4,4,1,4,4,4,4,2,5,4,1,6,3,5,6,6,5,4,0.395,0.40140694
1087073,4,5,3,3,6,2,4,4,5,3,1,6,3,2,4,1,5,2,4,5,0.415,0.3854349
583898,5,5,4,3,5,5,7,8,5,6,1,3,6,3,4,1,7,6,3,5,0.485,0.47692
879807,5,5,7,5,6,2,6,3,4,6,12,4,4,6,7,4,6,5,2,6,0.545,0.5372274
664870,1,2,4,4,6,6,9,8,5,3,5,5,4,6,2,2,6,3,8,3,0.47,0.45236093
348219,1,4,5,3,9,3,5,4,4,6,6,5,3,1,3,4,2,6,5,3,0.4,0.40571165
1027015,1,3,2,2,3,5,2,7,4,1,9,8,3,5,2,4,5,6,3,6,0.4,0.4150198
313674,5,5,2,11,8,7,11,7,3,8,2,7,6,4,4,3,1,6,4,6,0.575,0.5659813
735757,2,9,5,8,3,3,0,6,5,3,2,5,7,10,6,0,3,3,5,7,0.45,0.4812626
7316,7,5,2,5,7,4,8,3,4,1,5,3,5,7,8,9,3,6,6,7,0.545,0.5425993
496065,3,2,4,4,7,9,7,5,5,7,4,1,1,2,2,4,2,6,6,2,0.405,0.42435685
784536,3,4,12,6,9,2,4,4,12,1,4,8,3,5,3,2,5,6,8,2,0.52,0.5053042
417833,5,9,2,3,6,6,5,4,5,4,3,6,7,3,12,5,2,6,7,7,0.54,0.5496141
408883,7,6,5,1,4,1,8,8,5,2,5,3,3,5,7,5,6,3,8,6,0.5,0.49394262
766336,5,7,5,4,3,9,5,5,3,7,3,2,6,5,4,5,4,3,5,6,0.48,0.489212
178114,2,4,3,4,3,5,5,10,2,6,6,6,6,4,6,4,6,6,3,7,0.49,0.5021845
973609,5,6,3,3,4,8,6,2,5,4,3,7,3,9,5,7,3,5,4,3,0.5,0.4798909
347792,7,4,6,6,9,4,4,2,5,8,5,5,4,5,8,4,5,3,0,6,0.555,0.51655257
807758,7,5,5,7,7,0,4,5,3,5,6,6,9,3,3,3,4,8,7,7,0.525,0.5322828
419207,10,11,6,5,4,7,6,7,4,6,4,2,4,5,3,5,3,8,4,2,0.555,0.5520688
174188,7,4,5,5,10,5,5,3,1,5,3,9,4,3,7,5,6,6,2,6,0.54,0.51229084
326361,4,4,5,1,4,3,4,6,8,3,8,7,7,4,7,7,4,4,5,4,0.495,0.49115407
166082,7,5,7,8,3,4,5,5,4,4,4,4,8,5,5,8,8,4,5,4,0.545,0.5582652
860500,4,9,3,7,4,1,3,2,6,3,6,3,4,1,5,3,9,3,8,9,0.51,0.4747336
174980,4,8,4,1,5,6,9,4,7,9,4,5,7,3,9,4,7,4,3,1,0.535,0.53646445
617544,4,5,3,4,7,6,3,4,7,5,6,6,4,5,4,4,4,5,8,5,0.505,0.51462716
930063,1,8,3,3,8,2,6,4,5,6,9,5,4,5,9,4,4,4,8,3,0.505,0.52812344
323285,4,7,5,4,3,4,4,4,2,3,1,4,6,4,5,7,7,5,4,3,0.42,0.4349632
948984,7,8,6,8,5,4,4,6,6,7,4,5,3,1,5,1,4,7,6,3,0.505,0.52392006
693914,6,6,3,5,5,7,8,4,0,6,3,4,6,2,3,11,4,5,4,6,0.49,0.48645803
392820,7,6,2,3,7,5,6,4,5,8,3,3,9,5,4,5,7,4,5,7,0.53,0.5463737
673130,6,5,7,5,4,4,4,9,9,3,3,3,5,1,1,4,2,5,6,2,0.425,0.4680647
668057,5,7,2,4,3,6,6,4,5,6,8,10,3,3,3,9,4,5,2,3,0.485,0.48603773
895265,6,8,5,2,3,4,4,3,6,6,6,11,3,2,6,1,4,4,12,8,0.585,0.5120023
369212,3,4,5,5,5,3,7,4,4,6,4,3,6,3,5,5,4,3,8,3,0.425,0.44124335
464037,5,5,4,10,3,6,5,5,8,4,6,3,3,3,2,3,2,9,4,8,0.52,0.49040544
3478,3,5,2,6,7,6,8,7,6,3,5,6,5,4,4,4,10,8,6,6,0.565,0.58184534
186733,8,4,9,9,2,4,3,4,4,8,4,3,5,6,4,3,6,5,7,9,0.54,0.5384448
417934,2,6,4,6,7,2,3,5,7,4,4,8,2,4,5,4,3,7,6,4,0.51,0.47336176
865204,3,6,1,5,5,5,6,1,5,3,3,4,10,4,6,5,6,13,4,4,0.495,0.4894029
502412,6,6,7,1,9,8,6,9,5,3,4,4,7,4,9,5,6,4,1,3,0.56,0.5552145
450043,2,3,7,2,4,7,4,4,8,3,3,4,4,6,3,4,7,4,4,4,0.43,0.43655714
405396,4,8,4,5,5,7,9,5,5,5,4,3,4,7,1,9,3,3,3,3,0.51,0.48582867
443217,9,6,3,6,3,5,3,4,4,4,5,2,4,6,3,5,2,8,2,6,0.425,0.47104067
677160,8,3,4,3,5,6,6,6,2,2,3,2,4,3,3,3,3,8,2,3,0.385,0.40471667
762457,4,4,6,4,3,4,5,7,2,4,3,10,7,5,4,4,6,8,4,6,0.605,0.50433624
268586,4,7,2,7,12,3,1,2,5,3,3,5,4,1,7,8,7,3,9,4,0.485,0.47842267
281663,5,6,5,5,3,3,4,8,6,5,6,7,4,7,6,9,4,8,5,12,0.63,0.6055057
550143,6,3,5,4,4,4,6,4,2,3,3,3,6,3,9,9,3,5,4,4,0.425,0.45975372
978,4,1,6,4,5,4,5,7,5,10,5,5,5,2,4,3,4,5,4,6,0.45,0.4816778
676307,4,8,4,7,5,2,4,3,3,4,7,8,4,8,7,6,6,5,4,8,0.56,0.5453946
307435,5,4,3,6,5,3,3,4,8,4,6,3,4,5,8,3,5,5,4,3,0.435,0.46133876
81836,7,2,4,7,8,5,8,6,4,2,3,8,5,7,3,4,2,9,5,2,0.54,0.52037615
214309,3,7,10,9,7,0,3,5,3,4,5,5,5,6,2,7,4,6,3,4,0.5,0.5069293
1085219,4,2,8,6,8,1,6,5,5,3,6,5,7,2,5,6,5,3,6,3,0.48,0.48780262
703438,6,4,4,7,6,6,6,3,6,6,2,9,3,5,6,3,4,6,4,4,0.515,0.5186871
826841,10,7,7,5,4,4,3,5,7,5,2,4,4,3,3,6,8,5,6,4,0.55,0.521104
953098,6,9,4,4,4,7,5,4,3,7,7,1,5,8,6,1,1,6,5,7,0.53,0.5091107
199378,6,6,6,3,3,3,4,4,9,3,2,4,8,7,5,3,4,5,4,0,0.44,0.46698356
1108757,4,8,6,5,6,5,7,4,5,4,3,5,5,4,6,2,3,7,6,5,0.515,0.51851803
976587,4,7,7,3,6,2,5,4,3,3,8,7,7,5,5,5,3,6,6,4,0.505,0.52146524
484795,8,3,4,3,4,3,1,5,7,3,10,5,5,9,8,5,4,2,6,6,0.54,0.50739
942889,9,6,8,3,3,5,6,6,5,4,8,2,5,4,5,5,9,3,4,5,0.535,0.53374815
429304,8,5,4,2,5,4,7,2,4,2,7,4,6,8,6,9,3,3,4,3,0.49,0.4801135
368212,3,7,4,4,7,3,4,6,3,4,4,5,4,3,7,8,8,8,6,5,0.52,0.5236948
1029001,7,3,6,3,7,6,6,6,4,6,6,5,8,4,1,7,5,3,5,3,0.54,0.51394075
345156,4,7,3,7,5,4,5,3,6,10,6,6,6,4,9,5,5,6,3,4,0.565,0.5444119
856233,8,6,1,7,4,5,6,6,3,6,6,4,4,7,4,2,9,5,3,2,0.475,0.4980499
930022,1,1,2,6,9,7,4,3,5,4,8,3,7,9,7,7,2,2,3,6,0.48,0.4882849
729323,2,3,6,5,6,6,5,5,5,5,5,6,7,5,4,5,4,4,5,9,0.51,0.5250963
241912,2,3,4,4,4,4,2,6,6,6,2,9,0,6,7,8,6,4,2,8,0.48,0.47535688
502725,5,4,4,6,5,6,5,4,2,5,8,6,5,4,5,10,4,7,5,6,0.555,0.544823
1089733,3,10,7,9,6,4,4,5,7,6,5,4,6,6,6,3,11,7,5,3,0.61,0.60432386
458572,3,7,5,3,8,6,5,4,4,6,5,4,4,3,4,4,8,6,7,6,0.525,0.525434
176398,6,5,4,1,6,4,11,4,5,7,1,3,6,5,5,3,7,4,3,2,0.515,0.47455555
268714,7,7,7,3,2,1,6,8,3,3,3,5,2,5,4,10,5,5,6,6,0.49,0.5050794
456797,4,5,1,4,4,3,7,3,5,4,3,2,3,7,4,4,6,2,3,3,0.37,0.39654863
1101378,5,7,4,4,5,8,6,4,2,5,9,8,6,5,4,6,6,5,4,4,0.57,0.5441032
619798,9,2,4,9,6,7,5,3,7,7,5,6,5,7,3,1,2,3,10,4,0.535,0.5401664
321716,1,6,4,6,7,7,6,2,4,2,7,2,7,5,6,2,5,5,4,5,0.455,0.47133222
541518,5,9,6,9,9,4,4,4,5,8,4,7,6,4,5,4,4,6,3,3,0.55,0.554479
874771,5,4,2,6,4,3,8,3,7,7,5,4,7,3,4,4,4,4,4,8,0.465,0.48809993
415285,5,8,8,4,5,4,2,5,7,3,5,2,7,5,6,5,3,3,5,4,0.5,0.4831367
181166,8,4,5,7,5,6,4,8,1,6,7,8,3,7,8,4,4,6,4,2,0.545,0.54660964
1079981,2,4,2,4,9,4,2,5,5,4,8,2,7,9,8,5,3,6,5,3,0.475,0.48707062
695292,9,3,4,5,4,6,0,2,7,5,1,6,6,2,2,5,9,2,6,3,0.43,0.43416744
6883,4,4,10,2,5,8,4,5,9,3,6,4,6,6,7,1,4,4,5,5,0.51,0.5209926
133031,7,4,8,4,7,8,4,11,5,4,6,3,5,5,2,5,2,4,6,5,0.53,0.5301592
47229,2,4,4,10,5,5,5,4,4,4,5,7,5,1,3,4,3,4,8,5,0.445,0.46147007
724975,2,2,6,6,6,4,6,8,3,6,4,3,4,5,6,4,8,3,4,3,0.51,0.46826994
221361,3,8,4,4,6,6,8,5,5,5,3,5,6,3,7,9,3,9,6,5,0.58,0.56969047
81793,6,2,6,5,6,7,3,5,8,2,4,4,3,8,4,4,7,3,3,2,0.48,0.46386886
735558,6,4,8,5,4,8,7,4,7,3,3,5,6,5,4,6,6,4,7,8,0.58,0.5713336
600815,2,3,9,3,7,5,5,4,3,8,7,7,4,5,2,6,3,5,6,4,0.485,0.4891567
205259,3,4,4,3,4,6,4,5,4,4,4,7,7,9,9,7,4,4,5,4,0.525,0.51830566
674857,7,5,3,4,3,5,3,6,5,8,7,6,4,1,4,5,7,3,6,2,0.445,0.48893
638354,4,6,8,5,4,3,3,4,7,8,4,4,4,4,3,3,2,3,7,3,0.44,0.44633472
494907,4,3,3,5,7,7,5,4,5,5,5,4,7,7,4,1,4,3,8,3,0.445,0.47482774
1058888,3,7,4,6,9,4,3,4,2,8,4,5,5,4,7,3,2,4,6,3,0.46,0.46907037
951332,6,6,5,5,4,4,1,6,6,5,6,4,6,3,8,7,3,5,4,5,0.52,0.4940629
916443,9,7,4,4,4,5,2,3,5,5,6,1,8,4,6,4,5,7,5,4,0.475,0.5060153
190834,6,6,5,4,8,5,6,6,6,4,5,4,4,3,4,2,7,9,5,6,0.535,0.53746223
21692,4,5,1,8,7,8,3,2,4,5,6,11,4,4,7,6,1,1,2,4,0.46,0.4810731
876241,7,6,4,8,6,3,6,6,4,6,10,4,9,5,7,6,4,6,2,5,0.6,0.5882687
1032882,4,6,4,7,5,6,10,5,10,5,4,6,5,3,5,1,3,4,6,5,0.535,0.5286615
971856,8,6,5,1,1,3,8,4,5,10,5,5,3,5,9,4,4,5,3,0,0.45,0.47981703
1034874,6,4,8,6,2,0,8,5,7,4,7,8,5,5,5,9,6,5,6,6,0.595,0.5853193
1114403,4,7,6,5,6,11,5,4,5,7,7,6,4,5,3,4,7,2,6,1,0.56,0.5443619
297018,3,3,5,4,4,3,7,2,9,7,4,3,7,5,7,7,8,4,7,7,0.555,0.5395638
147249,6,5,4,7,7,8,2,4,6,2,4,6,6,6,7,3,7,6,3,5,0.55,0.54109836
559760,4,2,5,7,8,6,2,4,4,7,3,5,4,4,5,5,7,6,5,4,0.5,0.49094743
878849,3,3,4,1,6,6,7,0,1,5,10,10,8,4,2,7,4,6,5,3,0.47,0.47157884
413168,2,5,5,6,5,4,7,4,6,5,5,3,5,2,5,5,8,8,4,6,0.53,0.51954067
1117891,7,4,5,8,5,1,4,7,3,4,7,8,4,7,3,4,7,8,6,2,0.535,0.55207247
881205,6,3,3,5,7,6,4,7,6,8,8,2,3,4,5,5,3,8,7,5,0.53,0.5367398
762584,1,3,8,5,2,3,6,6,4,2,5,3,6,6,0,5,6,2,7,3,0.405,0.41257858
165258,3,5,6,7,5,5,4,4,3,5,3,5,4,4,10,4,2,4,10,4,0.475,0.48162937
681539,7,6,6,7,7,2,7,2,12,3,4,2,4,3,5,3,6,7,4,4,0.505,0.52227956
298667,2,4,5,7,7,2,5,6,7,7,5,5,4,5,2,2,4,6,3,5,0.46,0.47833854
629611,3,2,6,5,6,5,7,5,7,4,6,4,6,6,6,5,8,5,6,5,0.54,0.55095476
89027,2,8,8,4,5,4,4,5,5,1,3,5,4,4,7,5,4,4,2,6,0.46,0.46041477
409043,7,7,6,10,2,3,9,5,7,6,6,8,3,2,3,4,3,2,5,7,0.535,0.54043144
493154,6,6,6,3,8,4,5,4,6,5,9,5,3,4,8,1,6,5,6,4,0.55,0.5511873
138841,3,4,5,5,2,6,5,4,6,6,4,7,3,2,3,4,7,2,5,3,0.42,0.41743153
952584,3,4,6,5,5,6,4,5,3,6,7,8,6,4,3,5,4,7,3,4,0.485,0.49067786
1082468,4,6,6,5,5,3,4,3,6,12,6,4,8,3,2,3,4,4,5,7,0.53,0.52857196
952627,6,7,1,5,4,6,8,6,5,5,6,5,5,2,3,5,6,3,2,5,0.46,0.47519755
1074096,4,8,8,4,7,6,1,2,7,3,6,1,3,1,6,6,4,6,7,1,0.455,0.47644353
319428,5,3,7,7,3,3,6,5,5,2,6,8,4,5,5,4,6,3,2,2,0.485,0.4628473
12539,7,5,4,5,6,3,5,6,4,7,4,4,6,5,4,11,3,5,7,5,0.5,0.5435397
610599,7,9,7,9,7,3,5,6,5,7,4,3,6,5,2,9,6,6,7,6,0.63,0.6128265
976880,10,8,4,7,8,3,3,1,3,5,8,2,9,5,7,6,5,5,8,5,0.565,0.5662167
707082,7,1,5,4,5,4,4,6,5,14,9,0,3,5,3,4,1,4,5,4,0.455,0.46588883
65440,2,4,8,7,3,7,5,4,6,7,4,4,4,4,2,3,8,5,5,2,0.49,0.48013076
582364,6,13,8,8,2,3,3,5,3,2,4,5,4,5,5,4,2,4,4,5,0.52,0.46238205
544551,5,4,7,3,6,1,6,5,4,5,8,4,5,7,9,5,6,4,6,4,0.535,0.5442349
224433,7,9,5,7,6,4,5,8,4,4,7,4,3,3,2,7,4,9,3,5,0.545,0.5421419
161703,5,4,3,1,9,7,2,2,6,6,2,3,3,6,10,9,2,8,6,2,0.48,0.47846526
273121,1,5,5,4,5,7,7,2,3,7,6,6,4,0,7,6,8,4,6,5,0.49,0.49035746
110214,4,7,6,4,4,9,5,6,8,5,6,5,5,4,4,4,4,6,7,7,0.565,0.57309127
346040,4,5,9,2,5,3,5,3,5,7,3,3,6,5,7,7,4,2,2,4,0.455,0.46884167
252147,8,4,6,2,5,4,6,5,4,8,4,4,2,6,6,3,5,5,5,5,0.5,0.4912635
278638,5,6,7,3,4,2,5,8,3,8,7,4,8,5,4,2,4,4,7,5,0.54,0.5242602
1059537,8,9,5,6,8,4,2,3,2,7,6,6,5,6,2,5,4,2,3,4,0.475,0.48476106
916622,3,2,9,5,3,6,3,8,5,7,11,4,5,2,3,6,4,9,4,5,0.525,0.5219703
575337,5,2,9,7,3,4,6,6,5,7,7,4,6,7,6,5,2,7,6,5,0.55,0.56585485
257760,4,6,5,3,1,10,3,5,9,2,8,4,5,3,5,6,4,4,5,5,0.49,0.48361534
210694,5,5,4,2,3,5,1,4,2,2,6,9,7,5,5,5,6,6,8,4,0.515,0.4804789
959603,4,3,6,4,6,8,2,4,3,4,10,5,2,8,3,3,5,6,5,2,0.48,0.4685744
460236,3,4,1,7,4,4,5,8,2,3,6,7,4,8,5,6,4,4,5,4,0.515,0.47516763
875961,6,6,7,5,5,6,3,4,7,5,3,5,5,3,3,3,8,3,3,4,0.445,0.47883043
181518,6,2,6,7,7,2,6,6,6,7,4,3,6,6,2,4,5,2,5,6,0.475,0.5010571
6234,1,6,4,8,6,2,3,7,5,4,7,4,9,4,2,2,4,4,6,2,0.425,0.46561456
780103,6,6,3,8,7,6,8,8,9,6,4,6,5,7,8,3,1,1,2,2,0.545,0.5593945
872500,5,5,5,11,7,4,8,5,6,3,2,2,10,2,5,3,7,4,4,3,0.53,0.5341922
368997,4,8,4,2,8,5,7,3,4,8,5,2,2,4,6,3,2,7,4,5,0.445,0.47092393
992751,2,5,2,8,5,4,4,6,5,3,7,5,5,3,7,5,7,5,4,5,0.485,0.48831692
685311,5,5,4,4,5,5,10,7,5,4,5,4,5,5,4,5,3,2,1,6,0.46,0.48611218
167250,3,6,3,3,4,4,3,4,5,3,2,2,5,7,4,3,3,7,8,8,0.44,0.4321719
602361,6,3,4,2,6,3,3,6,5,2,4,4,7,2,2,9,4,3,3,4,0.395,0.40373603
196077,4,8,4,7,7,7,8,5,11,5,3,6,3,5,5,5,6,6,4,4,0.575,0.5830347
286075,6,9,6,5,2,5,4,7,4,8,6,5,3,3,6,6,4,5,6,5,0.535,0.5358431
754978,8,4,6,3,6,2,2,4,6,5,4,4,4,8,4,6,7,11,4,6,0.535,0.53355163
413099,4,5,7,7,9,4,3,6,1,7,6,4,5,5,8,8,6,3,4,6,0.565,0.55412513
